time,mid,fundamental,inventory,mark_to_market
2.01882,10097,10100.3,63,122.001
4.37646,10099,10104.1,170,1261.62
6.64104,10099,10106,192,1804.17
8.75373,10098,10107,157,1757.35
10.8258,10099,10107.2,190,2109.8
13.2347,10099,10105.4,190,1771.72
15.5141,10100,10107.4,140,1782.5
17.8688,10100,10110,140,2150.1
20.263,10100,10108.6,173,2410.41
22.5998,10099,10104.4,173,1734.16
24.7886,10099,10107.1,173,2212.68
26.9954,10099,10111.4,199,3335.9
29.6216,10098,10108.3,272,3501.17
31.9067,10099,10113.5,179,3577.12
33.937,10097.5,10118.1,229,5449.73
35.8304,10100,10118.7,86,2770.09
38.2403,10100,10118.1,140,3745.77
40.662,10099,10119.3,221,5566.87
42.7663,10100,10117.9,175,4404.76
45.1178,10100,10119.6,151,4246.91
46.9249,10100,10118.9,195,5146.08
49.3098,10100,10120.5,113,3779.63
51.8173,10098.5,10121.3,204,5954.44
54.0664,10099,10117.1,154,4191.3
56.279,10099,10115.7,189,4601.94
58.5492,10099,10116.9,139,3980.57
60.7446,10099,10114.3,139,3625.99
62.9218,10100,10110.9,89,2612
65.4859,10098.5,10105.9,202,2938.59
67.9113,10100,10105.3,137,2432.42
70.1615,10100,10103.2,160,2284.86
71.996,10100,10106.9,154,2925.27
74.2246,10100,10103.8,169,2519.92
76.0961,10100,10104.6,192,2825.87
78.4233,10099,10103.6,202,2734.32
80.3203,10098.5,10103.4,209,2815.52
82.2936,10100,10101.1,159,2220.25
84.866,10100,10100.5,188,2168.01
87.3724,10100,10100.4,188,2159.35
89.3596,10099,10105.9,236,3568.3
91.0958,10099,10104.1,198,2993.43
93.3495,10099.5,10102.5,159,2640.85
95.6036,10099,10105,212,3380.91
98.3814,10099,10110.9,162,4042.35
100.698,10099,10112.9,162,4358.17
102.928,10099,10113,162,4385.89
105.585,10099,10109.3,162,3786.17
108.157,10099,10108.2,162,3606.55
110.005,10100,10104.5,162,3045.1
112.276,10099,10100.5,160,2404.63
114.562,10099,10102.5,160,2721.49
116.581,10100,10106.3,164,3399.69
119.108,10099,10107.2,192,3801.83
121.404,10099,10107.5,163,3649.73
123.428,10099,10106.7,163,3514.52
125.936,10100,10109,138,3674.87
128.277,10100,10111.8,138,4048.86
130.612,10100,10111.4,138,4004.05
133.039,10100,10108.1,138,3544.02
134.983,10100,10107.9,188,3962.59
137.283,10100,10106,184,3599.79
139.177,10100,10109.1,184,4160.79
141.502,10100,10110.1,184,4345.05
143.36,10100,10112.2,184,4741.44
145.446,10100,10112.6,184,4805.67
147.534,10100,10111.6,184,4632.95
150.058,10100,10111.2,184,4558.92
152.051,10100,10110,186,4411.48
153.97,10100,10114.3,195,5351.55
156.118,10100,10111.8,172,4666.71
158.493,10099,10110.7,173,4562.23
160.722,10100,10112.6,157,4731.75
162.632,10100,10112.7,197,5334.83
164.505,10100,10112.5,197,5301.12
166.902,10100,10113.6,197,5529.41
169.077,10100,10106.2,150,3772.4
171.335,10098.5,10104.7,221,4006.01
173.449,10099,10098.4,171,2651.7
175.107,10099,10095.7,176,2213.87
177.155,10099,10095,176,2088.35
179.294,10099,10093,176,1742.66
181.693,10099,10095.7,176,2220.17
184.113,10100,10099,189,2826.8
185.991,10099,10099.6,158,2916.89
188.418,10099,10098.9,158,2801.39
190.733,10099,10098.1,158,2677.58
193.165,10099,10093.6,158,1959.62
195.674,10099,10093.6,158,1960.31
197.916,10099,10093.4,158,1939.23
200.389,10099,10093.6,158,1957.57
202.692,10099,10094.7,158,2143.12
204.726,10099,10092.4,158,1778.73
206.482,10099,10087.3,158,962.197
208.894,10099,10092.6,158,1799.32
210.824,10099,10090.1,158,1411.82
212.871,10099,10093.4,158,1930.97
215.151,10100,10097.4,158,2610.81
217.153,10099,10097.6,169,2626.23
219.348,10099,10095.8,169,2327.2
221.598,10099,10096.3,169,2406.66
223.635,10099,10093.9,169,2011.87
226.027,10099,10097.2,169,2559.47
228.4,10099,10091.3,169,1570.39
230.678,10099,10094.4,169,2094.31
232.997,10099,10095.8,169,2333.43
235.347,10099,10091.6,169,1620.23
237.339,10099,10090,169,1340.4
240.122,10099,10098,169,2700.96
242.547,10099,10100.5,169,3113.93
244.849,10099,10098.8,169,2831.31
247.057,10099,10098.1,169,2717.39
249.4,10099,10096.4,169,2433.81
251.332,10099,10091.9,169,1674.22
253.704,10099,10087.2,169,874.29
256.124,10099.5,10085.6,232,-218.677
258.277,10100,10086.8,182,722.825
260.35,10100,10085.7,187,459.56
262.629,10100,10083.4,188,26.424
264.698,10100,10085.1,222,-6.37394
266.857,10099,10084.1,184,358.197
269.059,10099,10091.5,184,1704.65
271.261,10099,10097.4,184,2797.9
273.861,10100,10103.9,165,4016.61
276.003,10100,10109.5,165,4995.33
278.389,10100,10107.5,191,4981
280.474,10100,10113.8,191,6172.16
282.684,10100,10116.7,191,6724.54
284.54,10100,10114.9,191,6382.17
286.935,10100,10112.2,191,5878.5
288.813,10100,10108.6,191,5180.85
291.042,10099,10103.8,160,4158.75
293.228,10100,10104.8,123,4136.35
295.521,10100,10107.4,123,4447.95
297.788,10100,10113.8,123,5243.93
