seed,r
1,0
1,4
1,0.5
1,1
1,0
1,0
1,-0.5
1,-0.5
1,0
1,-1
1,-0.5
1,-0.5
1,0
1,0
1,1
1,-0.5
1,0.5
1,0
1,0
1,0.5
1,0.5
1,-0.5
1,-1.5
1,-1
1,0
1,0
1,0
1,0
1,0
1,1.5
1,0.5
1,-0.5
1,0.5
1,0
1,-1.5
1,-1
1,1
1,-1
1,0
1,0
1,0.5
1,0.5
1,0
1,0
1,0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0.5
1,0.5
1,-0.5
1,-1
1,1
1,0
1,0
1,0
1,0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,-0.5
1,0.5
1,-0.5
1,0.5
1,0
1,0
1,-0.5
1,0
1,0.5
1,-0.5
1,0.5
1,-0.5
1,0
1,0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,-0.5
1,0.5
1,-0.5
1,0.5
1,0
1,0
1,0
1,0
1,-0.5
1,0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,-0.5
1,0
1,0.5
1,0
1,0
1,-0.5
1,0
1,0
1,0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,-0.5
1,0.5
1,0
1,0
1,0
1,0
1,0
1,-0.5
1,0
1,0
1,0
1,0
1,0.5
1,0
1,0
1,0
1,0
1,-0.5
1,0.5
1,0
1,0
1,-0.5
1,0.5
1,0
1,0
1,0
1,-0.5
1,0
1,0
1,0
1,0
1,0
1,0.5
1,-0.5
1,0
1,0.5
1,-0.5
1,0.5
1,0
1,0
1,-0.5
1,0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,-0.5
1,0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,-0.5
1,0
1,0.5
1,-0.5
1,0
1,0
1,0.5
1,0
1,0
1,0
1,0
1,-0.5
1,0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,-0.5
1,0.5
1,0
1,0
1,-0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,0.5
1,0
1,0
1,0
1,-0.5
1,0.5
1,0
1,0
1,0
1,-0.5
1,0
1,0
1,0
1,0.5
1,0
1,-0.5
1,0.5
1,0
1,0
1,0
1,0
1,-0.5
1,0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,-0.5
1,0
1,0.5
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0.5
2,0
2,0
2,0.5
2,0.5
2,1.5
2,1
2,0
2,0.5
2,0
2,-2.5
2,-2
2,-1
2,0
2,1
2,-1
2,1
2,0
2,2
2,0.5
2,1.5
2,0.5
2,0.5
2,1.5
2,-0.5
2,0
2,-1
2,0.5
2,0
2,1
2,0
2,0
2,-0.5
2,-1
2,0.5
2,0
2,0
2,0
2,0.5
2,0
2,0.5
2,0
2,-0.5
2,-1
